Ram,CPU_freq,PrimaryStorage,Weight,ScreenW,ScreenH,TypeName_Notebook,PrimaryStorageType_SSD,Inches,PrimaryStorageType_HDD,Screen_Standard,Screen_Full HD,Price_euros
0.0967741935483871,0.5185185185185185,0.0588235294117647,0.1695760598503741,0.4826192400970089,0.5977011494252874,0.0,1.0,0.385542168674699,0.0,1.0,0.0,0.1967409282700422
0.0967741935483871,0.3333333333333333,0.0588235294117647,0.1620947630922693,0.0299110751818916,0.0948275862068965,0.0,0.0,0.385542168674699,0.0,1.0,0.0,0.1223527426160337
0.0967741935483871,0.5925925925925926,0.1215686274509803,0.2917705735660848,0.2239288601455133,0.2241379310344827,1.0,1.0,0.6626506024096387,0.0,0.0,1.0,0.0676793248945147
0.2258064516129032,0.6666666666666667,0.2470588235294117,0.2842892768079801,0.6119644300727567,0.7413793103448276,0.0,1.0,0.63855421686747,0.0,1.0,0.0,0.3988945147679325
0.0967741935483871,0.8148148148148149,0.1215686274509803,0.1695760598503741,0.4826192400970089,0.5977011494252874,0.0,1.0,0.385542168674699,0.0,1.0,0.0,0.2750379746835443
0.032258064516129,0.7777777777777778,0.2411764705882353,0.3516209476309227,0.0,0.0,1.0,0.0,0.6626506024096387,1.0,1.0,0.0,0.0381434599156118
0.2258064516129032,0.4814814814814815,0.1215686274509803,0.3366583541147132,0.6119644300727567,0.7413793103448276,0.0,0.0,0.63855421686747,0.0,1.0,0.0,0.3318092827004219
0.0967741935483871,0.3333333333333333,0.1215686274509803,0.1620947630922693,0.0299110751818916,0.0948275862068965,0.0,0.0,0.385542168674699,0.0,1.0,0.0,0.1661940928270042
0.2258064516129032,0.3333333333333333,0.2470588235294117,0.1521197007481297,0.2239288601455133,0.2241379310344827,0.0,1.0,0.4698795180722893,0.0,0.0,1.0,0.2229535864978903
0.0967741935483871,0.2592592592592592,0.1215686274509803,0.2269326683291771,0.2239288601455133,0.2241379310344827,0.0,1.0,0.4698795180722893,0.0,0.0,1.0,0.100590717299578
0.032258064516129,0.5925925925925926,0.2411764705882353,0.2917705735660848,0.0,0.0,1.0,0.0,0.6626506024096387,1.0,1.0,0.0,0.0371139240506329
0.032258064516129,0.4074074074074074,0.2411764705882353,0.2917705735660848,0.2239288601455133,0.2241379310344827,1.0,0.0,0.6626506024096387,1.0,0.0,1.0,0.0288590717299578
0.2258064516129032,0.7037037037037036,0.1215686274509803,0.2842892768079801,0.6119644300727567,0.7413793103448276,0.0,1.0,0.63855421686747,0.0,1.0,0.0,0.382442194092827
